income_yearly,debt_total,payment_history_score,credit_limit,credit_used,credit_utilization_ratio,credit_worthiness
622466,441230,31,102124,7592,0.07,bad
2435432,2875476,100,952124,803057,0.84,bad
1702583,934268,99,534190,451282,0.84,good
3386853,588858,1,1346943,147428,0.11,good
2706179,,43,273410,267333,0.98,good
,205140,24,67707,47231,0.7,bad
2809786,3364198,93,310050,248965,0.8,bad
955668,386065,,168721,91135,0.54,good
254085,331568,79,40428,25797,0.64,good
202346,283440,14,37820,11718,,bad
391435,165953,99,66553,,0.53,good
819185,505511,32,143481,81114,0.57,bad
1035436,376824,54,352004,256779,0.73,good
2920344,1292913,8,841585,650802,0.77,bad
668823,131546,,148967,105775,0.71,good
3367822,522085,3,1298345,448591,0.35,good
3472081,,62,419372,123568,0.29,good
3824785,2297497,92,916840,272398,0.3,good
1785663,,38,467286,21157,0.05,bad
401607,64670,46,67031,,0.64,good
2052365,2247428,9,433132,62778,0.14,bad
3654265,602312,13,1222218,,0.88,bad
1015505,843486,,402338,332242,0.83,bad
621017,101828,12,130884,57599,0.44,good
462216,71919,76,161266,70693,0.44,good
1306755,678799,37,287147,140324,,good
754860,1051678,72,272445,110071,0.4,good
3390403,501836,20,1101703,,0.15,good
1778705,757639,67,331026,159028,0.48,good
,2038287,,915343,325601,0.36,good
3338742,2833074,58,858634,129728,0.15,good
1308794,1801183,98,231460,38829,0.17,good
2521714,2252780,82,,201482,0.72,bad
2813836,2687174,11,1071134,229912,0.21,bad
1692341,1498682,59,612871,,0.68,good
2780200,3306513,48,469899,184012,0.39,good
1798640,635894,65,562736,,0.27,good
2171920,448424,,283396,233493,0.82,bad
3361181,510242,5,382914,16711,0.04,good
2183950,923853,66,864307,766555,0.89,good
1980769,1578156,58,,175256,0.41,good
2532283,2409903,15,847829,55307,0.07,bad
3883406,4850705,30,738904,8322,0.01,bad
3986525,5397665,37,631846,514128,0.81,bad
445418,249928,86,162270,136724,0.84,good
1416693,756350,91,298040,164172,0.55,good
2208060,1404019,66,464932,270900,,good
3899301,4441090,71,448459,185001,0.41,good
212506,67858,75,,1053,0.02,good
3914617,1070099,89,1393191,150179,0.11,good
2771602,2658890,5,989306,419139,0.42,bad
1370223,100488,38,202160,122449,0.61,good
2940668,3040282,19,870589,727451,0.84,bad
1627180,,61,,165364,0.32,good
1558492,,62,607630,321761,0.53,good
1126820,1599200,78,122996,42391,0.34,good
1053036,649087,7,389464,363157,0.93,bad
507817,430763,46,156288,20702,0.13,good
2984116,1951849,,812221,792217,0.98,bad
3760981,2534444,60,1462384,808164,0.55,good
753749,1063114,67,210956,59581,0.28,good
1902077,,17,413131,409743,0.99,bad
3345023,2380304,40,1253303,931667,0.74,bad
3060316,3017072,35,537846,79080,,bad
2190682,372513,62,835831,225525,0.27,good
1036949,984719,,136927,32874,0.24,bad
3155025,2962731,11,597310,196637,0.33,bad
3927084,3392937,51,617179,140226,0.23,good
1173924,1713478,19,263853,100063,0.38,bad
474226,385062,80,177373,34382,0.19,good
1906650,1819682,30,602516,466023,0.77,bad
620184,76322,21,,783,0.01,good
2426448,2161643,46,476278,96704,0.2,good
2245968,2889296,70,771431,237148,0.31,good
1188080,668260,36,431244,233029,0.54,good
1091031,1420463,20,330146,280481,0.85,bad
1097265,1393784,32,233495,111829,0.48,bad
1489600,2127184,55,457389,214728,0.47,good
317551,451131,6,69198,60898,0.88,bad
1425793,1957611,78,468106,86216,0.18,good
2357284,2463061,26,765425,,0.59,bad
,813180,70,737078,125633,0.17,good
1781029,928425,28,304508,284377,0.93,bad
781012,111286,11,284081,154995,0.55,good
1143884,1418204,94,439626,388477,0.88,bad
3551428,51634,25,1122065,226176,0.2,good
3915043,2467848,17,738323,68122,0.09,bad
2583933,1626639,46,,114210,0.38,good
279956,192489,1,108727,88231,0.81,bad
3888557,2361643,83,575148,364805,0.63,good
2837514,3861917,65,706468,164145,0.23,good
3918854,4481431,58,977121,577498,0.59,good
3475138,3375682,75,573055,411128,0.72,bad
1178748,1264888,62,238737,126409,0.53,good
2396512,243080,29,349643,65345,0.19,good
,4167959,25,1385558,464091,0.33,bad
497520,154612,42,169515,90396,0.53,good
3927200,5468174,90,647848,359598,0.56,good
3456592,4076994,44,556718,,0.01,good
,4041845,0,454056,67455,0.15,bad
,2132099,55,402417,357083,0.89,bad
,3840794,38,469970,330003,,bad
2806374,1823362,7,371620,37974,0.1,bad
2274114,1335329,,642739,622807,0.97,good
2869804,3824856,74,530354,,0.43,good
160905,123404,20,18652,2763,0.15,bad
156228,196707,76,21768,21013,0.97,bad
3093564,3158723,16,785710,,0.18,bad
2087973,,82,258838,42605,,good
1982584,1439504,71,583911,,0.91,bad
1714656,1818689,52,482454,273884,0.57,good
2368739,2980956,56,289475,125516,0.43,good
589132,451429,80,99453,75893,0.76,bad
496406,247180,80,187991,89681,0.48,good
2044004,458587,94,445635,142856,0.32,good
1252979,444579,34,211609,132760,0.63,good
414020,577203,20,66936,61133,0.91,bad
3573656,4220078,81,877832,704256,0.8,bad
2409670,3364236,5,931751,,0.51,bad
711070,370844,,201687,182222,0.9,good
1153565,320973,43,428927,220946,,good
2363407,1221835,13,316237,,0.59,good
988920,1482738,50,352629,159321,,good
1322388,,82,299365,159060,0.53,good
3997650,,74,1447782,476030,0.33,good
3277324,4015701,75,983410,433154,0.44,good
3192218,982311,69,861769,81755,0.09,good
290260,137773,,47793,45239,0.95,good
1901630,2219827,95,217934,47262,0.22,good
3471076,3584598,85,840386,790201,,bad
3898458,445276,84,522909,381340,0.73,good
3755205,2524192,81,769640,150715,0.2,good
1848852,,75,593886,437094,0.74,bad
1021510,497898,23,180733,147844,0.82,bad
2690915,1205354,89,1068231,708157,0.66,good
1868885,394081,11,480154,225806,0.47,good
854057,167865,24,182782,158837,0.87,bad
136250,6094,,34328,27421,0.8,bad
1468383,1216133,,239124,184995,0.77,bad
2977325,1515996,8,531183,290205,0.55,good
2575792,190831,41,1022783,56703,0.06,good
2933732,3350973,54,659845,25589,0.04,good
3965754,5142401,94,1422134,,0.47,good
1324499,1043168,19,343882,261676,0.76,bad
213933,34337,,47785,33402,0.7,good
2325824,2019264,48,339127,,0.63,good
2631690,2805742,80,940944,751029,0.8,bad
3697921,2555257,96,,287779,0.21,good
1010319,389920,,,173665,0.57,good
1188929,1041006,29,132576,20205,0.15,bad
869845,175617,26,276558,130020,0.47,good
1049795,942484,50,202682,143800,0.71,bad
964605,34024,55,316884,,0.43,good
334664,,92,55514,5144,0.09,good
3974433,4605291,100,1075205,751368,0.7,good
1407520,,79,550784,22801,0.04,good
383853,536,88,92617,85662,0.92,good
2440305,2983212,5,794272,733745,0.92,bad
1856668,921867,86,,75807,0.39,good
2165285,64922,42,745135,71398,0.1,good
230793,13361,18,27673,15536,0.56,good
2769983,548965,24,941535,91237,0.1,good
1030845,396864,83,347749,79255,0.23,good
,4467191,66,502229,190145,0.38,good
271857,256714,30,87500,1720,0.02,bad
1426771,1622629,73,405758,314253,0.77,bad
1024050,1467240,90,364126,,0.13,good
1627942,1426363,100,645980,281609,0.44,good
3941577,5693092,52,1513353,1220815,0.81,bad
3880895,628179,78,542673,15280,0.03,good
2675452,1699658,11,419769,216488,0.52,bad
214128,254251,14,75064,24298,0.32,bad
2541649,265793,24,539724,408689,0.76,bad
3970429,2846301,24,1267661,176889,0.14,bad
1811137,494853,66,520548,284508,0.55,good
2825153,25371,92,739885,606525,,good
807469,108302,53,202720,27736,0.14,good
3212780,2341781,95,710787,478473,0.67,good
809117,70606,64,279448,179706,,good
2544307,2628736,43,843261,98812,0.12,good
3987076,3361484,56,809994,686935,0.85,bad
2279294,3390296,35,554458,339840,0.61,bad
3734246,5475955,86,,349061,0.3,good
2604491,647708,0,285895,203000,0.71,bad
3862150,4251265,14,1132808,583451,0.52,bad
3530135,3426550,73,828725,374480,0.45,good
3543553,2369305,73,1379236,1053698,0.76,bad
,3590062,71,788733,304524,0.39,good
3279065,2574033,39,1247952,1207542,0.97,bad
2540390,16530,64,342490,150065,0.44,good
2558948,501614,18,622609,3316,0.01,good
2608984,1673219,56,430095,157654,0.37,good
912635,988990,54,,188448,0.78,bad
1015091,794560,,271583,147689,0.54,good
1153593,51392,10,199560,187726,0.94,bad
1010682,1253483,94,307775,107999,0.35,good
401626,564528,,109668,26658,0.24,good
3626639,1297759,63,1307034,32197,0.02,good
2162750,2035727,69,713094,,0.82,bad
2959029,3280203,40,676633,292448,0.43,good
1716111,,52,625230,526459,0.84,good
238372,76177,7,41002,19985,0.49,good
3967439,5295308,,1105985,531941,0.48,good
2465172,2824987,3,361485,129306,0.36,bad
822884,1052367,79,322712,,0.92,bad
,1238720,83,416203,335036,0.8,bad
2508809,3482010,97,733078,281107,0.38,good
2439639,3598689,48,295396,33387,0.11,good
125259,171901,81,31787,26482,0.83,bad
3489479,1306812,12,990580,981613,0.99,bad
3807055,2702086,,785409,62464,0.08,good
3074498,1659172,93,1166463,485746,0.42,good
1943796,2039107,7,472500,291845,0.62,bad
3102528,,8,621101,100947,0.16,good
2519536,3325754,3,561493,218350,0.39,bad
,1346072,36,,7165,0.02,bad
978069,950884,85,331801,114666,0.35,good
1790065,,76,489777,415859,0.85,good
2152903,2053930,,449043,212249,0.47,bad
2802903,2512036,78,312308,200249,0.64,good
2286706,2296082,75,409864,368270,0.9,bad
2420488,1937122,75,716464,276223,0.39,good
1849449,725211,3,632477,583577,,bad
1719240,2289598,16,448841,281667,0.63,bad
3934308,4700568,75,458160,256036,0.56,good
3706983,4042356,34,977437,471324,0.48,bad
1163026,1363739,14,272964,8877,0.03,bad
,717461,64,332095,24990,0.08,good
1478479,1435259,86,455987,217131,0.48,good
2235403,,23,255427,160601,0.63,bad
252671,177505,83,59183,14500,0.25,good
366638,41621,17,97422,93942,0.96,bad
3155800,970335,30,1081186,749701,0.69,good
3926908,1933970,28,749668,692953,,bad
2858352,19322,90,,582888,0.57,good
2958000,808971,6,354472,26510,0.07,good
,3840462,21,586754,8705,0.01,bad
,,7,463324,237984,0.51,good
,2362888,29,550133,,0.04,bad
2832197,2552990,63,754865,179619,0.24,good
3196801,1374159,49,1221096,1108127,0.91,good
1119210,487310,84,247723,19687,0.08,good
1827606,116068,67,195275,90619,0.46,good
1308035,1776738,59,295331,64826,0.22,good
1522502,2054091,33,520196,219566,,bad
,32573,22,,349182,,good
3580415,4060379,15,,497023,0.46,bad
2761023,1718920,16,598755,519489,0.87,bad
3066254,2973254,64,810274,567990,0.7,good
3316453,3736641,7,557909,216259,0.39,bad
3597518,2100139,47,573628,192545,0.34,good
,320032,5,39807,27192,0.68,bad
,2711419,32,353057,310880,0.88,bad
3492266,339694,1,673066,,,good
,1553374,2,,138833,,bad
1023385,1008855,39,355949,266955,0.75,bad
2680570,266611,70,283329,61843,0.22,good
1354748,1987723,13,282060,233182,0.83,bad
766889,872452,33,283690,39337,0.14,bad
174208,95318,42,,14594,0.8,good
1536460,1822999,99,558934,235336,,good
3272439,4619636,17,826283,79814,0.1,bad
462672,29508,37,94714,16942,0.18,good
2645183,1339551,16,660909,286153,0.43,good
947495,1111772,77,215598,172406,0.8,bad
3946343,1914833,72,1106328,,0.88,good
,725327,30,,520967,0.8,bad
2797906,3498133,49,1114333,6838,0.01,good
3445629,1306320,79,359207,157392,0.44,good
3518990,3396500,79,1087546,541147,0.5,good
980154,1024038,70,215844,28642,0.13,good
3659292,3394657,23,723147,312132,0.43,bad
2201541,1477516,5,635883,563641,0.89,bad
3251246,3303233,,1218190,828590,0.68,good
255849,325160,40,58633,6572,0.11,good
2510763,2279383,20,628604,593485,0.94,bad
1837372,2582820,12,578967,255603,0.44,bad
2373904,3258465,93,925338,786731,0.85,bad
3354005,3968484,96,831279,575311,0.69,good
2977523,1025413,,,320356,0.61,good
2949742,2653354,65,617398,147570,0.24,good
1367375,1943267,16,395565,11258,0.03,bad
3802034,53120,99,771929,279131,0.36,good
3911913,2379511,100,731684,241490,0.33,good
2279390,2156672,98,595430,556380,0.93,bad
3204437,4617952,6,477888,243087,0.51,bad
2986776,3197447,81,,483467,0.74,bad
3789985,3964118,77,1272397,140935,0.11,good
1879558,2082687,42,,241845,0.47,good
1897866,2316166,,559325,415792,,bad
998631,460328,83,257180,,0.95,good
1265761,,,166820,166202,1,bad
1562361,45035,85,359271,90311,0.25,good
1065564,1504497,25,261874,,0.94,bad
544641,543964,74,84438,37617,,good
418763,315148,91,43694,13146,0.3,good
,742624,87,600604,,0.19,good
2135099,2864248,23,558779,557052,1,bad
202536,272072,20,33552,7577,0.23,bad
2804659,898929,64,,660833,0.71,good
646521,357527,91,254483,64157,0.25,good
2835346,2912122,50,332986,148398,0.45,good
2446323,1791837,41,837148,60260,0.07,good
690097,262360,49,75369,,0.49,good
1199905,255305,,,98479,0.43,good
2490486,3170512,35,324661,315,0,bad
2869981,1449610,52,609717,361716,0.59,good
1069654,1252277,74,364883,344370,0.94,bad
,2387880,42,1045351,656236,0.63,good
1401426,42355,22,353192,179188,0.51,good
3918635,3551877,8,1422668,,0.45,bad
3149203,1677441,,556270,439526,0.79,bad
3060438,2893856,62,853519,754586,0.88,bad
2989238,3928897,,921916,320174,0.35,good
,1276792,21,872640,871518,1,bad
502001,512355,65,188011,,0.33,good
1821932,2101051,75,360906,167448,0.46,good
2608520,684159,1,801956,109720,0.14,good
248769,70681,,55689,27144,0.49,good
3064935,4195014,61,631842,197059,0.31,good
1598561,40034,,421569,352761,,bad
3669450,4037090,2,914003,424201,0.46,bad
1359927,551493,,426634,163255,0.38,good
803177,562032,94,123201,4965,0.04,good
471626,413734,80,174020,92602,0.53,good
326288,15163,59,94509,76674,0.81,good
1818353,1814687,50,449987,300364,0.67,good
,1691715,87,1150137,,0.21,good
881698,971504,,,95903,0.4,good
1479305,1207762,58,155411,152543,0.98,bad
1305160,1274784,48,384497,278658,0.72,bad
2576384,2478805,2,773808,374468,0.48,bad
1937219,737034,83,738788,656072,,good
1905349,2592813,,730299,,0.63,good
3933795,2890665,74,,,0.75,bad
2119563,2790084,67,721581,537975,0.75,bad
1371476,1299364,95,273751,93104,0.34,good
2309479,324598,38,262102,197418,0.75,bad
3383798,1472924,18,591668,366993,0.62,good
3387448,128641,53,1102655,661753,0.6,good
,2508574,65,712763,,0.15,good
1502281,255662,50,200728,186520,0.93,good
,3910512,19,427733,329274,,bad
2739832,1860898,56,467065,83605,0.18,good
2827337,4067695,17,575640,489240,0.85,bad
3108412,1433622,75,876932,158480,,good
3636711,592446,16,1446489,1424100,0.98,bad
2481388,1775885,17,822625,92623,0.11,bad
2534602,2407908,21,334220,79138,0.24,bad
3463606,487072,30,,31971,0.05,good
2686014,2027400,31,646086,369343,0.57,bad
456142,496029,61,64736,5298,0.08,good
2839605,2450875,30,553921,120194,0.22,bad
2507347,3579490,85,392856,341585,0.87,bad
2784431,1676136,0,671028,,0.93,bad
838500,1111393,19,309788,284742,0.92,bad
2833202,2382791,41,594656,42184,,good
574724,640857,25,66843,14316,0.21,bad
3064874,1136468,62,913868,216595,0.24,good
3248627,233969,22,,662741,0.61,good
701207,1028795,70,250105,27029,0.11,good
1612639,1390321,30,447133,108293,0.24,bad
2436514,2473289,2,464562,374274,,bad
,1395058,33,149229,2622,0.02,bad
894586,254605,83,220401,38757,0.18,good
1168248,1573101,43,403614,66569,0.16,good
771655,101693,18,87419,55473,0.63,good
2364299,1911374,54,353218,183823,0.52,good
,95939,7,587642,399305,0.68,good
2707223,1217629,31,932535,749580,0.8,bad
3762250,267778,16,392678,180021,0.46,good
2767351,1585393,70,932272,831749,0.89,good
3601354,2492381,85,1393336,122742,0.09,good
1007876,,72,112184,57510,0.51,good
208043,17745,74,45053,22569,0.5,good
2101287,,83,355340,229587,0.65,good
595286,613006,97,208801,157934,0.76,bad
3056464,,3,994532,200178,0.2,good
3205704,3051674,56,713057,537950,0.75,bad
2753409,1061227,50,585172,187573,0.32,good
3556012,286698,33,402323,193773,0.48,good
812629,937347,58,88845,55952,0.63,good
318776,69957,67,109218,47876,0.44,good
3941167,3862120,96,829578,327656,0.39,good
2783561,2015214,75,1009677,821023,0.81,bad
1699731,1206099,43,508050,124548,0.25,good
3398999,3383168,,767298,345347,,bad
3490205,833219,25,706135,420260,0.6,good
704350,267109,68,115323,54218,0.47,good
1927798,380079,78,654323,19317,0.03,good
1802299,2532947,21,329425,179243,0.54,bad
3578578,2922343,61,1224344,98878,,good
3961222,5290464,77,764166,623707,,bad
739093,710075,,78929,62061,0.79,bad
760565,667030,50,80797,18537,0.23,good
3915982,,53,1449197,1356778,0.94,good
1296707,1855314,67,388300,113755,0.29,good
2454369,2403543,45,525837,32051,0.06,good
1634333,594747,39,177162,71901,0.41,good
2996611,158449,40,757650,556551,0.73,good
2092842,3097843,60,392024,293684,0.75,bad
2753671,1510439,42,693670,173003,,good
2897957,,9,924363,818856,0.89,bad
2020011,1925583,,219738,95758,0.44,good
3727668,600022,24,,710252,,good
2167767,175262,68,,213592,0.35,good
,5106595,93,631143,488389,0.77,bad
186657,5016,98,45640,37245,0.82,good
680705,922718,0,,144042,0.54,bad
2291537,1246415,38,896898,639287,0.71,bad
787965,864744,41,230395,199199,,bad
329665,437797,,46366,28640,,good
3135627,552960,44,1162077,436466,,good
3744093,,92,1294830,800558,0.62,good
3398198,64010,50,751634,191543,0.25,good
1413268,1149575,66,508725,132311,0.26,good
1916843,2669135,67,492030,243905,0.5,good
2129864,879730,60,768634,594824,0.77,good
,1740645,27,786104,715663,0.91,bad
3233928,,43,453494,193530,0.43,good
271075,90867,84,40756,17602,0.43,good
168579,63461,7,59329,,0.32,good
3169710,359041,15,1240392,657175,0.53,good
3188252,1237400,33,903755,693475,0.77,bad
1642337,607813,70,214469,103671,0.48,good
266871,282981,1,66146,21616,0.33,bad
2706556,3985660,40,753729,398055,0.53,good
2436074,1698321,37,311157,80999,0.26,bad
3525792,2851318,84,730448,622931,0.85,bad
3549135,4278477,14,,182327,0.23,bad
468145,380432,92,110312,64720,0.59,good
1068962,1218709,78,405207,296360,0.73,bad
1769982,2349630,85,,51244,0.17,good
1632959,1918516,43,322049,142247,0.44,good
2872458,3163151,97,353557,313047,0.89,bad
3003684,4079200,22,451889,120963,0.27,bad
3779410,409866,39,1267639,554526,0.44,good
1397782,1676314,62,501022,368413,0.74,bad
1756003,1234420,,,63441,0.33,good
2684192,,4,931071,825907,0.89,bad
263988,351058,77,26794,13200,0.49,good
2383370,1772383,,474108,278907,0.59,good
1214342,1389100,,410984,102349,0.25,good
1043047,1306906,48,128437,85074,0.66,good
1249049,400894,66,468078,160848,0.34,good
,410009,25,234961,23786,0.1,good
2325118,,,496590,240102,0.48,bad
1047807,1125822,59,353320,246743,0.7,good
1097816,1417458,79,304089,226061,0.74,bad
1848744,119255,78,382020,44011,0.12,good
2879878,,11,657019,539443,0.82,bad
149031,99115,72,56429,52242,0.93,bad
275656,354228,,,19803,0.28,good
310753,338857,49,57026,39432,0.69,good
3439492,,74,1056851,618433,0.59,good
1388033,1914623,96,247232,63826,0.26,good
,3620240,47,,208657,0.7,good
,2448329,24,603443,92701,0.15,bad
1530905,831403,44,484480,237337,0.49,good
2749431,1987180,12,475461,177007,0.37,bad
3961876,4381754,,876062,788879,0.9,bad
591311,207829,33,233107,193428,0.83,bad
3839039,2070777,,1176024,207307,0.18,good
3539968,2646748,2,1207072,185368,0.15,bad
3142096,1630604,95,536825,454599,0.85,good
1922690,,73,569386,52585,0.09,good
3428465,1485423,26,393716,112637,0.29,good
499092,735904,49,73882,,0.86,bad
1759380,,59,284775,142983,0.5,good
,1270212,28,416997,365631,,bad
2836757,,47,379125,110818,0.29,good
3040256,498683,7,1027187,1002480,0.98,bad
1336593,454601,9,304476,,0.13,good
3771147,486262,54,939157,289836,0.31,good
1062756,1407014,6,301103,115968,0.39,bad
3744674,4540996,89,441908,233637,0.53,good
2207650,1800581,96,378202,76945,0.2,good
2649733,474400,94,641877,280160,0.44,good
855630,713692,63,186318,171053,0.92,bad
3451332,3894923,47,,522324,,good
1644240,784258,86,343222,210371,0.61,good
2541981,1049517,99,922661,699158,,good
3372500,,43,1077382,1048932,0.97,good
3656220,,59,1137653,485721,,good
2998835,3165006,24,375315,72700,,bad
3722547,4898542,56,1219150,907591,0.74,bad
2100881,3015638,39,557974,389674,0.7,bad
2575958,3494994,47,697034,445097,0.64,good
1461730,352016,65,332196,276277,0.83,good
1668622,1973928,72,460794,122405,0.27,good
990998,121819,7,366082,98188,0.27,good
2902530,3224809,98,764092,74339,0.1,good
3788549,2007285,22,685420,95583,0.14,good
1086706,748722,59,121642,49255,0.4,good
2592457,3867547,40,357233,139275,0.39,good
578532,59029,79,86518,21535,0.25,good
2455801,1643802,68,397253,349973,0.88,bad
2817928,591574,41,483945,133523,0.28,good
,,56,,962384,0.64,good
635870,789730,80,101261,23106,0.23,good
3509783,3954127,46,366318,136432,0.37,good
,1650876,97,,181437,0.22,good
3881347,4497986,35,1377077,112056,0.08,bad
2807714,3673175,41,722723,428529,0.59,good
2318977,3027700,41,857786,823248,,bad
357446,224228,5,57132,4735,0.08,bad
283212,148125,81,106989,41196,0.39,good
3110103,2148332,97,1016274,594702,0.59,good
1738739,1529884,44,254803,129242,,good
641814,166846,39,198934,9415,0.05,good
2736079,2847115,66,393935,66054,0.17,good
3811465,4788580,75,1411461,1370354,0.97,bad
1539244,,52,266420,69405,,good
1851612,859086,34,451839,253612,0.56,good
2525339,2636700,36,443473,,0.56,bad
680757,223753,100,,216698,0.95,good
1097885,539029,46,368610,54242,0.15,good
800379,1071828,,131328,129878,0.99,bad
2690096,2463413,98,329774,149262,0.45,good
3984773,4326219,83,1160954,466471,0.4,good
,4017946,76,417636,215899,0.52,good
1275050,1588347,12,298204,129283,0.43,bad
3087907,3277258,52,402715,13562,0.03,good
2084383,,99,753042,,0.72,good
1996438,1176071,15,721031,88124,0.12,good
2870691,2479052,58,391518,33654,0.09,good
1358360,1712214,18,392253,100638,0.26,bad
887227,503904,,343455,1469,0,good
2724243,1258815,50,585562,36642,0.06,good
3843994,4492217,,906298,78046,,good
3735181,1157342,60,,,,good
3506102,4759293,,958000,771232,0.81,bad
3700896,4371910,,1006335,785777,0.78,bad
3370751,916823,87,1268560,915313,0.72,good
3558952,1746323,60,831753,258620,0.31,good
,546291,92,104482,97595,0.93,bad
,108089,98,1208791,760649,0.63,good
3957923,1239952,,1205679,823613,0.68,good
3982357,3462753,41,1009343,114159,0.11,good
1400570,381032,51,162543,69067,0.42,good
438510,619877,85,163707,6783,0.04,good
480927,66827,57,78865,64058,0.81,good
3778688,,75,1048971,441329,0.42,good
3648389,649000,74,862286,838631,0.97,good
606252,787523,65,106132,66927,,good
1746873,40295,100,379502,320991,0.85,good
1177860,184969,21,212981,78684,0.37,good
3401846,1734463,16,488447,438871,0.9,bad
3373928,111930,35,736052,,0.98,bad
3343694,269185,29,478147,36781,0.08,good
2717661,2155136,40,492955,347286,0.7,good
1819066,2204558,66,335939,321902,0.96,bad
1243884,538537,15,450371,232556,0.52,good
977179,512256,13,103921,60089,0.58,good
1390917,178850,7,232972,33372,0.14,good
597198,,80,120678,7459,0.06,good
3253678,166035,15,491162,67875,0.14,good
3573828,825361,1,534698,171584,,good
1059980,100417,,301733,48661,0.16,good
3860563,2618642,21,1384497,,0.66,bad
3765778,2781679,70,1375918,492190,0.36,good
706176,264290,48,137185,122208,,good
2859078,,94,990859,654620,0.66,good
3537423,2766851,63,815810,669127,0.82,bad
3558472,2922624,30,1057196,247250,0.23,bad
2556688,1717322,82,387018,59222,0.15,good
761974,,67,296785,108532,0.37,good
1320953,526179,71,194679,107329,0.55,good
2806793,368842,72,884511,796879,,good
2790634,1913833,,523685,38379,0.07,good
,502555,18,73302,42854,0.58,bad
3481474,3571021,34,,214610,0.38,bad
3088651,4580426,,326211,321364,0.99,bad
3043701,3951110,92,426337,222432,0.52,good
1835054,1425424,41,295110,86604,0.29,good
604045,66011,15,183270,150207,0.82,bad
3051346,1646792,23,1025855,820092,0.8,bad
1518820,1107662,79,263455,179058,0.68,good
1796708,850454,19,451793,96723,0.21,good
2590443,997379,0,808743,50166,0.06,good
199441,254398,9,27583,23808,0.86,bad
3863471,58480,13,871542,80095,0.09,good
2367823,297346,16,423464,261216,0.62,good
3451794,1315319,79,787780,574937,0.73,good
2468013,2905212,90,290831,183311,0.63,good
608434,571543,5,212305,170567,0.8,bad
533094,727485,6,112999,90575,0.8,bad
,353267,66,513560,472967,0.92,good
,721701,88,575510,183053,0.32,good
480773,349583,84,,,0.43,good
,91058,68,527985,198945,0.38,good
943607,842808,,253791,214823,0.85,bad
3126009,451696,17,1118883,,0.59,good
977582,1111246,70,132317,74310,0.56,good
2111746,2888075,56,278627,188726,0.68,good
3798110,3106717,93,392773,57611,0.15,good
1626242,2189916,28,236924,95258,0.4,bad
2954161,2620612,74,997556,706567,,bad
316743,60164,56,113957,111678,0.98,good
1073975,,,342367,73508,0.21,bad
2650812,228472,40,894985,78091,0.09,good
1729594,990309,20,626824,,0.85,bad
3077112,2740662,3,341338,100098,0.29,bad
923417,168233,4,167092,68426,0.41,good
3483034,4241817,70,1103506,264500,0.24,good
3235861,3318466,33,997724,791430,0.79,bad
1877700,2289717,80,689293,261210,,good
3731159,2701530,8,507545,329021,0.65,bad
3553898,1974159,17,723627,331519,0.46,good
2286874,1027746,77,483924,162810,0.34,good
2887850,1019867,,458780,233759,,good
,49978,,218816,49609,0.23,good
2439599,1907005,60,458949,136198,0.3,good
,1389960,8,240374,74839,0.31,bad
366122,2466,8,76942,4726,,good
